zcta10,stateco,alloc,puma10,boro,CD,pumaname,sub_boro,per_in_puma,per_of_puma
11430,36081,x,04113,Queens,10,Howard Beach & Ozone Park,South Ozone Park/Howard Beach,1,0.001
11432,36081,x,04106,Queens,8,"Briarwood, Fresh Meadows & Hillcrest",Hillcrest/Fresh Meadows,0.582,0.23
11433,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,1,0.148
11434,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.883,0.236
11435,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,0.551,0.133
11436,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,1,0.081
11451,36081,x,04112,Queens,12,"Jamaica, Hollis & St. Albans",Jamaica,,0
11691,36081,x,04114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1,0.522
11692,36081,x,04114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1,0.161
11693,36081,x,04114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1,0.104
11694,36081,x,04114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1,0.177
11697,36081,x,04114,Queens,14,"Far Rockaway, Breezy Point & Broad Channel",Rockaways,1,0.035
10301,36085,x,03903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,0.966,0.218
10302,36085,x,03903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,1,0.109
10303,36085,x,03903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,1,0.15
10304,36085,x,03903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,0.667,0.16
10305,36085,x,03902,Staten Island,2,New Springville & South Beach,Mid-Island,0.691,0.217
10306,36085,x,03902,Staten Island,2,New Springville & South Beach,Mid-Island,0.523,0.22
10307,36085,x,03901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1,0.088
10308,36085,x,03901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1,0.171
10309,36085,x,03901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1,0.203
10310,36085,x,03903,Staten Island,1,"Port Richmond, Stapleton & Mariners Harbor",North Shore,1,0.142
10311,36085,x,03902,Staten Island,2,New Springville & South Beach,Mid-Island,,0
10312,36085,x,03901,Staten Island,3,"Tottenville, Great Kills & Annadale",South Shore,1,0.371
10314,36085,x,03902,Staten Island,2,New Springville & South Beach,Mid-Island,0.696,0.447
11001,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.986,0.131
11040,36081,x,04105,Queens,13,"Queens Village, Cambria Heights & Rosedale",Queens Village,0.986,0.131
10041,36061,x,03810,Manhattan,1 & 2,"Battery Park City, Greenwich Village & Soho",Greenwich Village/Financial District,1,0.021
10118,36061,x,03807,Manhattan,4 & 5,"Chelsea, Clinton & Midtown Business District",Chelsea/Clinton/Midtown,1,0.146
11249,36047,x,04001,Brooklyn,1,Greenpoint & Williamsburg,Williamsburg/Greenpoint,1,0.611
